85	SLVEl Salvador	392(392.23)	390	2		243.34	243.34	141.67	70.83	171.16	51.35	133.55	26.71	
86	CYPCyprus	386(386.13)	378	6		198.44	198.44	126.65	63.32	251.21	75.36	245.03	49.01	
87	OMAOman	383(382.51)	331	16		246.54	246.54	116.09	58.04	176.62	52.99	124.70	24.94	
88	UZBUzbekistan	381(380.96)	451	-16		93.44	93.44	315.56	157.78	311.74	93.52	181.07	36.21	
88	IRQIraq	381(380.83)	405	-5		234.97	234.97	109.65	54.83	157.68	47.30	218.68	43.74	
90	BENBenin	379(378.79)	427	-9		173.02	173.02	158.10	79.05	294.77	88.43	191.44	38.29	
91	CGOCongo	378(377.52)	390	-4		160.58	160.58	113.84	56.92	253.26	75.98	420.24	84.05	
92	TRITrinidad and Tobago	374(374.41)	430	-13		142.38	142.38	137.85	68.93	354.19	106.26	284.28	56.86	
92	GABGabon	374(373.64)	371	3		170.26	170.26	182.58	91.29	119.88	35.96	380.65	76.13	
94	ESTEstonia	364(364.21)	399	-8		193.61	193.61	143.55	71.77	209.43	62.83	179.98	36.00	
94	FROFaroe Islands	364(363.73)	364	3		124.67	124.67	225.23	112.61	241.31	72.39	270.27	54.05	
96	GEOGeorgia	362(361.5)	332	5		219.92	219.92	142.04	71.02	186.43	55.93	73.16	14.63	
97	INDIndia	354(354.41)	339	2		187.00	187.00	260.61	130.31	67.02	20.11	85.00	17.00	
98	ARMArmenia	347(346.99)	385	-7		126.47	126.47	348.77	174.38	95.87	28.76	86.88	17.38	
98	ISRIsrael	347(346.94)	375	-4		60.11	60.11	318.04	159.02	140.66	42.20	428.07	85.61	
100	LBYLibya	341(340.54)	339	-1		172.55	172.55	213.78	106.89	183.88	55.16	29.67	5.93	
101	QATQatar	339(339.15)	332	0		149.64	149.64	159.66	79.83	251.18	75.35	171.62	34.32	
102	SLESierra Leone	332(332.32)	360	-4		190.06	190.06	161.50	80.75	124.68	37.41	120.50	24.10	
103	VIEVietnam	331(330.7)	293	10		222.70	222.70	98.32	49.16	132.05	39.62	96.12	19.22	
104	GNBGuinea-Bissau	330(329.88)	368	-8		135.15	135.15	167.66	83.83	233.27	69.98	204.61	40.92	
105	MTNMauritania	323(323.16)	322	-1		129.24	129.24	195.01	97.51	202.58	60.77	178.18	35.64	
106	MOZMozambique	311(311.05)	317	-1		138.00	138.00	154.56	77.28	148.62	44.59	255.91	51.18	
107	NAMNamibia	305(305.13)	302	4		128.35	128.35	212.57	106.29	136.45	40.93	147.82	29.56	
108	HAIHaiti	302(302.4)	403	-23		27.20	27.20	295.57	147.78	288.34	86.50	204.55	40.91	
109	NIGNiger	299(298.91)	305	1		179.35	179.35	98.18	49.09	163.94	49.18	106.44	21.29	
110	ZIMZimbabwe	295(294.68)	312	-2		147.48	147.48	169.96	84.98	168.06	50.42	59.04	11.81	
